Time,u,y
2/22/21 0:00,0.00E+00,0.00E+00
2/22/21 0:01,0.00E+00,0.00E+00
2/22/21 0:02,0.00E+00,0.00E+00
2/22/21 0:03,0.00E+00,0.00E+00
2/22/21 0:04,0.00E+00,0.00E+00
2/22/21 0:05,1.00E+00,2.14E-05
2/22/21 0:06,1.00E+00,5.29E-03
2/22/21 0:07,1.00E+00,7.54E-02
2/22/21 0:08,1.00E+00,3.43E-01
2/22/21 0:09,1.00E+00,8.50E-01
2/22/21 0:10,1.00E+00,1.47E+00
2/22/21 0:11,1.00E+00,2.04E+00
2/22/21 0:12,1.00E+00,2.46E+00
2/22/21 0:13,1.00E+00,2.72E+00
2/22/21 0:14,1.00E+00,2.87E+00
2/22/21 0:15,1.00E+00,2.94E+00
2/22/21 0:16,1.00E+00,2.98E+00
2/22/21 0:17,1.00E+00,2.99E+00
2/22/21 0:18,1.00E+00,3.00E+00
2/22/21 0:19,1.00E+00,3.00E+00
2/22/21 0:20,1.00E-01,3.00E+00
2/22/21 0:21,1.00E-01,3.00E+00
2/22/21 0:22,1.00E-01,2.93E+00
2/22/21 0:23,1.00E-01,2.69E+00
2/22/21 0:24,1.00E-01,2.23E+00
2/22/21 0:25,1.00E-01,1.67E+00
2/22/21 0:26,1.00E-01,1.16E+00
2/22/21 0:27,1.00E-01,7.84E-01
2/22/21 0:28,1.00E-01,5.48E-01
2/22/21 0:29,1.00E-01,4.17E-01
2/22/21 0:30,5.00E-01,3.51E-01
2/22/21 0:31,5.00E-01,3.23E-01
2/22/21 0:32,5.00E-01,3.39E-01
2/22/21 0:33,5.00E-01,4.40E-01
2/22/21 0:34,5.00E-01,6.41E-01
2/22/21 0:35,5.00E-01,8.90E-01
2/22/21 0:36,5.00E-01,1.12E+00
2/22/21 0:37,5.00E-01,1.28E+00
2/22/21 0:38,5.00E-01,1.39E+00
2/22/21 0:39,5.00E-01,1.45E+00
2/22/21 0:40,5.00E-01,1.48E+00
2/22/21 0:41,5.00E-01,1.49E+00
2/22/21 0:42,5.00E-01,1.50E+00
2/22/21 0:43,5.00E-01,1.50E+00
2/22/21 0:44,5.00E-01,1.50E+00
2/22/21 0:45,5.00E-01,1.50E+00
2/22/21 0:46,5.00E-01,1.50E+00
2/22/21 0:47,5.00E-01,1.50E+00
2/22/21 0:48,5.00E-01,1.50E+00
2/22/21 0:49,5.00E-01,1.50E+00
2/22/21 0:50,5.00E-01,1.50E+00
